Timestamp,Observation Date,Observation Time,Observation Date + Time,Rip Current Activity,Rip Strength (within 1 hour of observation time) [Salt Creek Beach],Rip Presence,Rip Strength (within 1 hour of observation time) [Strand Beach],"Rip Behavior (""0"" if rips are listed above as not present or unknown) [Salt Creek Beach]","Rip Behavior (""0"" if rips are listed above as not present or unknown) [Strand Beach]",Average Surf Height (ft) (for both beaches) within 1 hour of observation time,Maximum Surf Height (ft) (for both beaches) within 1 hour of observation time,Number of rip rescues:,Comments:,Observer ID:,Water Temperature (degrees F):,Wave Period (seconds):
11/20/2020 14:07:31,11/20/2020,2:07:00 PM,11/20/2020 2:07:00 PM,,,0,,,,3,,0,,churma test,,
11/20/2020 14:54:54,11/20/2020,2:54:00 PM,11/20/2020 2:54:00 PM,1,,0,,,,7,,0,,churma test,,
11/20/2020 14:55:05,11/20/2020,2:54:00 PM,11/20/2020 2:54:00 PM,1,,0,,,,7,,0,,churma test,,
11/20/2020 14:55:22,11/20/2020,2:54:00 PM,11/20/2020 2:54:00 PM,1,,0,,,,7,,0,,churma test,,
11/20/2020 14:55:54,11/20/2020,2:54:00 PM,11/20/2020 2:54:00 PM,1,,0,,,,7,,0,,churma test,,
11/20/2020 14:56:38,11/20/2020,2:56:00 PM,11/20/2020 2:56:00 PM,2,,0,,,,2,,1,,churma test,,
11/20/2020 14:57:02,11/20/2020,2:56:00 PM,11/20/2020 2:56:00 PM,2,,0,,,,2,,1,,churma test,,
11/20/2020 16:02:07,11/20/2020,4:01:00 PM,11/20/2020 4:01:00 PM,2,,0,,,,8,,66,,churma TEST,,
11/20/2020 16:36:10,11/20/2020,4:25:00 PM,11/20/2020 4:25:00 PM,0,,0,,,,1,,0,,churma,,
11/20/2020 16:37:44,11/20/2020,4:37:00 PM,11/20/2020 4:37:00 PM,0,,0,,,,0,,0,,churma TEST,,
11/23/2020 14:35:32,11/23/2020,11:30:00 AM,11/23/2020 11:30:00 AM,1,,0,,,,3,,1,,TEST,,
12/1/2020 16:38:55,12/1/2020,4:35:00 PM,12/1/2020 4:35:00 PM,0,,0,,,,0,1,0,TEST,churma,,
12/4/2020 12:45:03,12/4/2020,4:35:00 PM,12/4/2020 4:35:00 PM,,0,0,2,,,0,3,0,TEST,churma,,
12/22/2020 17:38:30,12/22/2020,5:31:00 PM,12/22/2020 5:31:00 PM,,1,0,1,1,2,5,7,11,TEST TEST,churma,,
1/4/2021 17:18:13,1/4/2021,5:15:00 PM,1/4/2021 5:15:00 PM,,0,0,1,,2,4,5,0,Test,Churma,,
1/6/2021 11:18:51,1/6/2021,8:00:00 AM,1/6/2021 8:00:00 AM,,3,1,3,1,2,2,7,0,TEST,CO,,
1/6/2021 12:10:16,1/6/2021,9:00:00 AM,1/6/2021 9:00:00 AM,,3,1,3,1,1,4,6,0,,"OC Lifeguards, Jason Ross",,
2/28/2021 18:49:55,2/28/2021,4:00:00 PM,2/28/2021 4:00:00 PM,,0,0,0,0,0,1,3,0,,Weissman,57,14
3/5/2021 10:34:12,1/1/2001,12:00:00 AM,1/1/2001 12:00:00 AM,,,0,,0,0,0,0,0,Test,test,33,33
3/7/2021 20:02:37,3/7/2021,3:00:00 PM,3/7/2021 3:00:00 PM,,1,0,1,1,1,3,4,0,,Weissman,59,
3/14/2021 21:20:34,3/14/2021,5:00:00 PM,3/14/2021 5:00:00 PM,,0,0,0,0,0,1,1,0,,Weissman,57,
3/29/2021 17:58:52,3/29/2021,3:00:00 PM,3/29/2021 3:00:00 PM,,0,0,0,0,0,2,4,0,,Weissman,59,
4/9/2021 17:31:59,4/9/2021,2:30:00 PM,4/9/2021 2:30:00 PM,,3,1,3,1,1,3,4,4,,Jason Ross,61,9
4/23/2021 21:19:51,4/23/2021,6:00:00 PM,4/23/2021 6:00:00 PM,,2,1,2,2,2,4,6,0,,5670,62,22
4/25/2021 18:38:58,4/25/2021,3:30:00 PM,4/25/2021 3:30:00 PM,,3,1,3,1,1,5,7,4,,Patton,60,16
4/25/2021 18:50:50,4/25/2021,3:30:00 PM,4/25/2021 3:30:00 PM,,2,1,2,1,1,6,7,0,,Cara,65,18
4/26/2021 19:35:54,4/26/2021,2:30:00 PM,4/26/2021 2:30:00 PM,,2,1,1,2,2,3,4,0,Long period south short interval north west,Colton Crockett,61,16
4/27/2021 15:54:41,4/27/2021,12:50:00 PM,4/27/2021 12:50:00 PM,,2,1,1,1,1,2,3,0,,"Orta, Juan",61,13
4/29/2021 18:57:17,4/29/2021,3:55:00 PM,4/29/2021 3:55:00 PM,,3,1,2,1,1,3,4,1,,"Orta,Juan",59,16
4/30/2021 21:04:29,4/30/2021,6:00:00 PM,4/30/2021 6:00:00 PM,,3,1,3,2,2,5,5,5,,5670,60,16
5/1/2021 19:15:30,4/1/2021,3:30:00 PM,4/1/2021 3:30:00 PM,,3,1,3,1,1,5,6,3,,Cara,60,19
5/3/2021 21:03:37,5/3/2021,6:00:00 PM,5/3/2021 6:00:00 PM,,2,1,2,1,1,3,7,0,,Wilson,59,14
5/4/2021 19:53:07,5/4/2021,4:45:00 PM,5/4/2021 4:45:00 PM,,2,1,2,1,1,4,5,10,,JPatton,60,20
5/4/2021 22:53:10,5/4/2021,4:00:00 PM,5/4/2021 4:00:00 PM,,3,1,2,2,1,4,5,1,,Weissman,,
5/5/2021 21:06:50,5/5/2021,4:30:00 PM,5/5/2021 4:30:00 PM,,1,0,1,1,1,2,3,0,,Cara,63,12
